position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,22,8,8,72:40,32,52:24
2,Aston Villa,38,22,7,9,69:41,28,51:25
3,Sunderland AFC,38,15,15,8,67:48,19,45:31
4,Everton FC,38,19,7,12,50:36,14,45:31
5,Bradford City,38,20,5,13,51:42,9,45:31
6,The Wednesday FC,38,17,8,13,47:48,-1,42:34
7,Oldham Athletic,38,16,9,13,44:41,3,41:35
8,Newcastle United,38,15,10,13,61:43,18,40:36
9,Sheffield United,38,15,8,15,49:43,6,38:38
10,Woolwich Arsenal,38,13,12,13,41:49,-8,38:38
11,Notts County,38,14,10,14,37:45,-8,38:38
12,Blackburn Rovers,38,13,11,14,62:54,8,37:39
13,Liverpool FC,38,15,7,16,53:53,0,37:39
14,Preston North End,38,12,11,15,40:49,-9,35:41
15,Tottenham Hotspur,38,13,6,19,52:63,-11,32:44
16,Middlesbrough FC,38,11,10,17,49:63,-14,32:44
17,Manchester City,38,9,13,16,43:58,-15,31:45
18,Bury FC,38,9,11,18,43:71,-28,29:47
19,Bristol City,38,11,5,22,43:66,-23,27:49
20,Nottingham Forest,38,9,7,22,55:75,-20,25:51
