position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,22,9,7,70:31,39,75
2,Ipswich Town,38,23,5,10,68:48,20,74
3,Manchester United,38,19,11,8,54:28,26,68
4,Swansea City,38,20,6,12,53:44,9,66
5,Tottenham Hotspur,38,18,10,10,62:43,19,64
6,Southampton FC,38,17,9,12,68:61,7,60
7,Arsenal FC,38,16,11,11,38:35,3,59
8,West Ham United,38,14,15,9,63:50,13,57
9,Everton FC,38,15,11,12,48:45,3,56
10,Manchester City,38,14,12,12,47:46,1,54
11,Aston Villa,38,14,11,13,53:50,3,53
12,Nottingham Forest,38,13,12,13,36:41,-5,51
13,Brighton & Hove Albion,38,12,13,13,40:46,-6,49
14,Coventry City,38,12,10,16,53:56,-3,46
15,Notts County,38,13,6,19,55:59,-4,45
16,Stoke City,38,11,6,21,41:59,-18,39
17,Birmingham City,38,8,14,16,48:58,-10,38
18,West Bromwich Albion,38,9,11,18,41:52,-11,38
19,Leeds United,38,9,11,18,36:57,-21,38
20,Sunderland AFC,38,9,11,18,32:54,-22,38
21,Middlesbrough FC,38,7,15,16,30:44,-14,36
22,Wolverhampton Wanderers,38,9,9,20,28:57,-29,36
