position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Newcastle United,38,22,7,9,74:46,28,51:25
2,Bristol City,38,20,8,10,66:47,19,48:28
3,Everton FC,38,20,5,13,70:46,24,45:31
4,Sheffield United,38,17,11,10,57:55,2,45:31
5,Aston Villa,38,19,6,13,78:52,26,44:32
6,Bolton Wanderers,38,18,8,12,59:47,12,44:32
7,Woolwich Arsenal,38,20,4,14,66:59,7,44:32
8,Manchester United,38,17,8,13,53:56,-3,42:34
9,Birmingham FC,38,15,8,15,52:52,0,38:38
10,Sunderland AFC,38,14,9,15,65:66,-1,37:39
11,Middlesbrough FC,38,15,6,17,56:63,-7,36:40
12,Blackburn Rovers,38,14,7,17,56:59,-3,35:41
13,The Wednesday FC,38,12,11,15,49:60,-11,35:41
14,Preston North End,38,14,7,17,44:57,-13,35:41
15,Liverpool FC,38,13,7,18,64:65,-1,33:43
16,Bury FC,38,13,6,19,58:68,-10,32:44
17,Manchester City,38,10,12,16,53:77,-24,32:44
18,Notts County,38,8,15,15,46:50,-4,31:45
19,Derby County,38,9,9,20,41:59,-18,27:49
20,Stoke City,38,8,10,20,41:64,-23,26:50
