position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Sheffield Wednesday,38,22,8,8,92:53,39,52:24
2,Derby County,38,20,8,10,81:67,14,48:28
3,Manchester City,38,19,8,11,86:69,17,46:30
4,Aston Villa,38,20,4,14,83:74,9,44:32
5,Leeds United,38,18,5,15,72:58,14,41:35
6,Huddersfield Town,38,17,7,14,58:57,1,41:35
7,Blackburn Rovers,38,17,6,15,93:89,4,40:36
8,West Ham United,38,17,5,16,76:69,7,39:37
9,Leicester City,38,16,7,15,76:79,-3,39:37
10,Liverpool FC,38,15,8,15,62:72,-10,38:38
11,Arsenal FC,38,14,9,15,68:53,15,37:39
12,Birmingham FC,38,14,9,15,63:58,5,37:39
13,Bolton Wanderers,38,14,9,15,62:61,1,37:39
14,Sunderland AFC,38,15,7,16,63:75,-12,37:39
15,Portsmouth FC,38,14,8,16,64:60,4,36:40
16,Manchester United,38,15,6,17,60:75,-15,36:40
17,Middlesbrough FC,38,14,5,19,73:77,-4,33:43
18,Burnley FC,38,13,6,19,70:90,-20,32:44
19,Newcastle United,38,13,6,19,67:88,-21,32:44
20,Sheffield United,38,13,5,20,77:87,-10,31:45
21,Grimsby Town,38,12,7,19,68:87,-19,31:45
22,Everton FC,38,10,9,19,69:85,-16,29:47
