position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,20,12,6,58:29,29,72
2,Aston Villa,38,19,11,8,52:36,16,68
3,Norwich City,38,19,8,11,52:57,-5,65
4,Blackburn Rovers,38,17,11,10,61:41,20,62
5,Sheffield Wednesday,38,14,14,10,47:42,5,56
6,Tottenham Hotspur,38,15,10,13,52:56,-4,55
7,Manchester City,38,14,11,13,51:42,9,53
8,Queens Park Rangers,38,14,11,13,52:49,3,53
9,Arsenal FC,38,14,10,14,37:36,1,52
10,Liverpool FC,38,14,10,14,51:51,0,52
11,Coventry City,38,13,12,13,48:47,1,51
12,Wimbledon FC,38,13,11,14,51:48,3,50
13,Chelsea FC,38,12,14,12,43:44,-1,50
14,Southampton FC,38,13,10,15,49:51,-2,49
15,Leeds United,38,12,12,14,51:54,-3,48
16,Everton FC,38,14,6,18,45:48,-3,48
17,Ipswich Town,38,10,16,12,43:48,-5,46
18,Sheffield United,38,12,9,17,46:47,-1,45
19,Oldham Athletic,38,11,9,18,56:66,-10,42
20,Crystal Palace,38,9,15,14,41:56,-15,42
21,Nottingham Forest,38,9,10,19,38:56,-18,37
22,Middlesbrough FC,38,9,10,19,46:66,-20,37
