position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Derby County,38,21,10,7,61:31,30,52:24
2,Manchester City,38,21,10,7,70:41,29,52:24
3,Liverpool FC,38,21,9,8,57:28,29,51:25
4,Leeds United,38,20,9,9,61:30,31,49:27
5,Tottenham Hotspur,38,17,11,10,55:38,17,45:31
6,Arsenal FC,38,19,7,12,51:36,15,45:31
7,Chelsea FC,38,17,11,10,53:40,13,45:31
8,Wolverhampton Wanderers,38,17,11,10,62:52,10,45:31
9,Manchester United,38,17,9,12,63:57,6,43:33
10,Sheffield United,38,15,11,12,58:55,3,41:35
11,Newcastle United,38,14,9,15,42:46,-4,37:39
12,West Ham United,38,11,12,15,44:44,0,34:42
13,Leicester City,38,11,12,15,35:42,-7,34:42
14,Stoke City,38,10,13,15,38:49,-11,33:43
15,Ipswich Town,38,9,15,14,34:49,-15,33:43
16,West Bromwich Albion,38,11,10,17,38:48,-10,32:44
17,Coventry City,38,9,14,15,42:61,-19,32:44
18,Everton FC,38,8,15,15,34:46,-12,31:45
19,Southampton FC,38,12,6,20,50:75,-25,30:46
20,Crystal Palace,38,8,11,19,36:60,-24,27:49
21,Huddersfield Town,38,6,12,20,26:52,-26,24:52
22,Nottingham Forest,38,7,7,24,44:74,-30,21:55
