position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,28,7,3,81:13,68,63:13
2,West Bromwich Albion,38,23,9,6,69:32,37,55:21
3,Nottingham Forest,38,20,15,3,58:25,33,55:21
4,Everton FC,38,15,16,7,49:38,11,46:30
5,Leeds United,38,16,12,10,65:49,16,44:32
6,Arsenal FC,38,16,12,10,55:43,12,44:32
7,Manchester United,38,15,12,11,59:61,-2,42:34
8,Ipswich Town,38,16,9,13,53:43,10,41:35
9,Aston Villa,38,12,15,11,52:46,6,39:37
10,Coventry City,38,12,15,11,50:63,-13,39:37
11,Tottenham Hotspur,38,13,12,13,42:54,-12,38:38
12,Southampton FC,38,11,15,12,43:44,-1,37:39
13,Bristol City,38,14,9,15,46:48,-2,37:39
14,Middlesbrough FC,38,13,9,16,50:47,3,35:41
15,Manchester City,38,11,13,14,53:52,1,35:41
16,Norwich City,38,7,21,10,48:52,-4,35:41
17,Bolton Wanderers,38,12,9,17,51:70,-19,33:43
18,Wolverhampton Wanderers,38,12,6,20,41:63,-22,30:46
19,Derby County,38,9,10,19,41:66,-25,28:48
20,Queens Park Rangers,38,5,13,20,35:62,-27,23:53
21,Birmingham City,38,5,9,24,34:60,-26,19:57
22,Chelsea FC,38,4,10,24,37:81,-44,18:58
