position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Sunderland AFC,38,20,10,8,77:53,24,50:26
2,Portsmouth FC,38,19,9,10,69:35,34,47:29
3,Manchester United,38,17,13,8,65:40,25,47:29
4,Liverpool FC,38,17,13,8,60:47,13,47:29
5,Wolverhampton Wanderers,38,17,12,9,66:47,19,46:30
6,Blackpool FC,38,17,12,9,45:33,12,46:30
7,Newcastle United,38,16,12,10,68:48,20,44:32
8,Arsenal FC,38,16,11,11,67:50,17,43:33
9,Middlesbrough FC,38,18,6,14,53:45,8,42:34
10,Derby County,38,16,9,13,64:56,8,41:35
11,Aston Villa,38,14,10,14,55:57,-2,38:38
12,Burnley FC,38,13,12,13,34:37,-3,38:38
13,Chelsea FC,38,12,14,12,57:61,-4,38:38
14,West Bromwich Albion,38,12,10,16,45:53,-8,34:42
15,Fulham FC,38,10,13,15,40:48,-8,33:43
16,Huddersfield Town,38,12,8,18,45:68,-23,32:44
17,Bolton Wanderers,38,9,13,16,42:52,-10,31:45
18,Everton FC,38,9,13,16,38:59,-21,31:45
19,Stoke City,38,10,11,17,43:66,-23,31:45
20,Charlton Athletic,38,11,5,22,48:62,-14,27:49
21,Manchester City,38,7,11,20,32:62,-30,25:51
22,Birmingham City,38,7,11,20,29:63,-34,25:51
