position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Burnley FC,38,23,10,5,75:31,44,56:20
2,Liverpool FC,38,17,14,7,58:31,27,48:28
3,Bolton Wanderers,39,17,14,8,73:49,24,48:30
4,Newcastle United,38,19,8,11,62:40,22,46:30
5,Manchester City,36,20,4,12,60:45,15,44:28
6,Everton FC,39,17,10,12,64:53,11,44:34
7,Tottenham Hotspur,38,18,7,13,67:45,22,43:33
8,Middlesbrough FC,38,16,9,13,49:50,-1,41:35
9,Arsenal FC,37,14,12,11,56:57,-1,40:34
10,Preston North End,38,15,7,16,56:55,1,37:39
11,Manchester United,38,14,9,15,60:64,-4,37:39
12,Sunderland AFC,39,13,11,15,53:57,-4,37:41
13,Bradford City,38,11,14,13,53:55,-2,36:40
14,Chelsea FC,38,13,10,15,46:55,-9,36:40
15,West Bromwich Albion,38,11,13,14,48:56,-8,35:41
16,Huddersfield Town,39,13,9,17,37:46,-9,35:43
17,Aston Villa,38,14,7,17,54:68,-14,35:41
18,Blackburn Rovers,37,10,14,13,52:55,-3,34:40
19,Oldham Athletic,38,7,15,16,42:80,-38,29:47
20,Sheffield United,38,6,16,16,39:62,-23,28:48
21,Derby County,38,5,15,18,29:50,-21,25:51
22,Bradford Park Avenue,38,7,8,23,41:70,-29,22:54
