position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Everton FC,38,17,12,9,88:57,31,46:30
2,Huddersfield Town,38,20,6,12,84:64,20,46:30
3,Leicester City,38,17,11,10,90:67,23,45:31
4,Derby County,38,15,10,13,90:77,13,40:36
5,Aston Villa,38,16,8,14,71:65,6,40:36
6,Cardiff City,38,15,10,13,63:71,-8,40:36
7,Bolton Wanderers,38,15,9,14,74:62,12,39:37
8,West Ham United,38,14,10,14,76:76,0,38:38
9,Arsenal FC,38,13,12,13,78:81,-3,38:38
10,Newcastle United,38,13,11,14,74:79,-5,37:39
11,Sheffield United,38,14,9,15,72:77,-5,37:39
12,Blackburn Rovers,38,14,9,15,60:72,-12,37:39
13,Portsmouth FC,38,15,7,16,61:82,-21,37:39
14,Liverpool FC,38,12,12,14,81:79,2,36:40
15,Middlesbrough FC,38,11,14,13,78:78,0,36:40
16,Birmingham FC,38,11,14,13,63:68,-5,36:40
17,Bury FC,38,16,4,18,68:76,-8,36:40
18,Burnley FC,38,15,6,17,73:87,-14,36:40
19,Sunderland AFC,38,13,9,16,67:70,-3,35:41
20,Tottenham Hotspur,38,14,7,17,69:77,-8,35:41
21,Manchester United,38,14,7,17,60:72,-12,35:41
22,The Wednesday FC,38,9,13,16,72:75,-3,31:45
