position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Derby County,38,20,8,10,65:48,17,48:28
2,Everton FC,38,15,16,7,51:37,14,46:30
3,Ipswich Town,38,21,4,13,58:39,19,46:30
4,Stoke City,38,16,13,9,61:46,15,45:31
5,Liverpool FC,38,17,11,10,53:37,16,45:31
6,Middlesbrough FC,38,16,11,11,50:37,13,43:33
7,Sheffield United,38,15,12,11,49:49,0,42:34
8,Burnley FC,38,16,9,13,64:62,2,41:35
9,Leeds United,38,14,12,12,52:44,8,40:36
10,Manchester City,38,16,8,14,49:52,-3,40:36
11,Queens Park Rangers,38,15,9,14,50:49,1,39:37
12,Newcastle United,38,15,8,15,58:65,-7,38:38
13,West Ham United,38,12,13,13,55:52,3,37:39
14,Wolverhampton Wanderers,38,13,10,15,54:50,4,36:40
15,Arsenal FC,38,12,10,16,45:46,-1,34:42
16,Birmingham City,38,13,8,17,50:55,-5,34:42
17,Coventry City,38,10,14,14,48:59,-11,34:42
18,Leicester City,38,11,11,16,42:53,-11,33:43
19,Chelsea FC,38,9,14,15,41:65,-24,32:44
20,Tottenham Hotspur,38,11,8,19,46:58,-12,30:46
21,Luton Town,38,9,10,19,38:61,-23,28:48
22,Carlisle United,38,11,3,24,42:57,-15,25:51
