position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,36,24,10,2,79:21,58,82
2,Manchester United,37,20,12,5,63:36,27,72
3,Nottingham Forest,36,19,11,6,60:33,27,68
4,Everton FC,36,19,10,7,50:23,27,67
5,Queens Park Rangers,36,18,8,10,44:34,10,62
6,Arsenal FC,36,17,10,9,52:33,19,61
7,Wimbledon FC,36,13,12,11,54:44,10,51
8,Sheffield Wednesday,36,15,5,16,46:56,-10,50
9,Newcastle United,36,11,14,11,48:48,0,47
10,Luton Town,36,13,8,15,51:53,-2,47
11,Coventry City,36,12,11,13,43:51,-8,47
12,Southampton FC,36,11,12,13,45:48,-3,45
13,Tottenham Hotspur,37,12,9,16,37:46,-9,45
14,Norwich City,37,12,7,18,36:47,-11,43
15,Chelsea FC,36,9,12,15,45:60,-15,39
16,West Ham United,36,8,14,14,33:46,-13,38
17,Derby County,36,9,10,17,32:44,-12,37
18,Charlton Athletic,36,8,12,16,33:49,-16,36
19,Portsmouth FC,36,7,13,16,32:57,-25,34
20,Oxford United,36,6,12,18,39:69,-30,30
21,Watford FC,37,6,10,21,24:48,-24,28
