position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Chelsea FC,38,18,11,9,75:54,21,47:29
2,Manchester City,38,18,9,11,73:58,15,45:31
3,Wolverhampton Wanderers,38,17,10,11,80:61,19,44:32
4,Portsmouth FC,38,17,9,12,69:58,11,43:33
5,Arsenal FC,38,16,9,13,63:54,9,41:35
6,Sunderland AFC,38,12,17,9,56:51,5,41:35
7,Everton FC,38,16,9,13,60:57,3,41:35
8,Newcastle United,38,16,8,14,84:73,11,40:36
9,Manchester United,38,17,6,15,74:69,5,40:36
10,Burnley FC,38,15,9,14,47:46,1,39:37
11,Aston Villa,38,16,7,15,60:70,-10,39:37
12,Sheffield United,38,16,7,15,65:78,-13,39:37
13,Tottenham Hotspur,38,15,8,15,70:66,4,38:38
14,Charlton Athletic,38,15,7,16,71:66,5,37:39
15,Preston North End,38,14,8,16,77:59,18,36:40
16,Bolton Wanderers,38,12,12,14,58:65,-7,36:40
17,West Bromwich Albion,38,14,8,16,72:86,-14,36:40
18,Huddersfield Town,38,11,13,14,56:65,-9,35:41
19,Blackpool FC,38,12,9,17,52:61,-9,33:43
20,Leicester City,38,11,11,16,71:81,-10,33:43
21,Cardiff City,38,12,9,17,57:71,-14,33:43
22,Sheffield Wednesday,38,5,10,23,54:95,-41,20:56
