position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Arsenal FC,38,24,10,4,115:57,58,58:18
2,Aston Villa,38,22,9,7,118:73,45,53:23
3,Sheffield Wednesday,38,21,7,10,96:68,28,49:27
4,Portsmouth FC,38,16,12,10,78:63,15,44:32
5,Derby County,38,17,9,12,86:71,15,43:33
6,Huddersfield Town,38,16,11,11,75:62,13,43:33
7,Manchester City,38,17,8,13,69:63,6,42:34
8,Middlesbrough FC,38,17,6,15,83:79,4,40:36
9,Liverpool FC,38,14,11,13,81:78,3,39:37
10,Blackburn Rovers,38,15,8,15,75:75,0,38:38
11,Sheffield United,38,13,10,15,74:73,1,36:40
12,Chelsea FC,38,14,8,16,60:63,-3,36:40
13,Newcastle United,38,15,5,18,75:79,-4,35:41
14,Grimsby Town,38,15,5,18,73:81,-8,35:41
15,Bolton Wanderers,38,13,9,16,62:74,-12,35:41
16,Leicester City,38,15,5,18,73:86,-13,35:41
17,Sunderland AFC,38,12,9,17,78:82,-4,33:43
18,West Ham United,38,13,7,18,75:86,-11,33:43
19,Birmingham FC,38,11,9,18,51:68,-17,31:45
20,Blackpool FC,38,11,8,19,64:113,-49,30:46
21,Leeds United,38,11,6,21,65:76,-11,28:48
22,Manchester United,38,7,6,25,48:104,-56,20:56
