position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,22,10,6,75:43,32,54:22
2,Nottingham Forest,38,21,9,8,57:36,21,51:25
3,Tottenham Hotspur,38,21,7,10,67:48,19,49:27
4,Liverpool FC,38,18,12,8,62:43,19,48:28
5,Leeds United,38,19,10,9,56:40,16,48:28
6,Everton FC,38,16,9,13,56:42,14,41:35
7,Chelsea FC,38,14,13,11,61:54,7,41:35
8,Arsenal FC,38,14,12,12,49:43,6,40:36
9,Sheffield United,38,16,8,14,49:53,-4,40:36
10,Leicester City,38,16,7,15,68:62,6,39:37
11,Stoke City,38,16,6,16,59:53,6,38:38
12,Sheffield Wednesday,38,13,11,14,48:45,3,37:39
13,Burnley FC,38,14,8,16,63:64,-1,36:40
14,West Ham United,38,14,7,17,77:73,4,35:41
15,Manchester City,38,11,13,14,38:48,-10,35:41
16,Fulham FC,38,11,11,16,66:72,-6,33:43
17,Sunderland AFC,38,13,7,18,55:68,-13,33:43
18,West Bromwich Albion,38,12,7,19,64:70,-6,31:45
19,Southampton FC,38,12,6,20,65:85,-20,30:46
20,Newcastle United,38,11,8,19,33:70,-37,30:46
21,Aston Villa,38,11,7,20,49:71,-22,29:47
22,Blackpool FC,38,5,8,25,35:69,-34,18:58
