position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Blackburn Rovers,38,20,11,7,78:42,36,51:25
2,Aston Villa,38,19,6,13,65:50,15,44:32
3,Middlesbrough FC,38,19,5,14,77:60,17,43:33
4,Oldham Athletic,38,17,9,12,55:45,10,43:33
5,West Bromwich Albion,38,15,13,10,46:42,4,43:33
6,Bolton Wanderers,38,16,10,12,65:52,13,42:34
7,Sunderland AFC,38,17,6,15,63:52,11,40:36
8,Chelsea FC,38,16,7,15,46:55,-9,39:37
9,Bradford City,38,12,14,12,40:40,0,38:38
10,Sheffield United,38,16,5,17,63:60,3,37:39
11,Newcastle United,38,13,11,14,39:48,-9,37:39
12,Burnley FC,38,12,12,14,61:53,8,36:40
13,Manchester City,38,14,8,16,51:53,-2,36:40
14,Manchester United,38,15,6,17,52:62,-10,36:40
15,Everton FC,38,12,11,15,46:55,-9,35:41
16,Liverpool FC,38,14,7,17,46:62,-16,35:41
17,Tottenham Hotspur,38,12,10,16,50:62,-12,34:42
18,The Wednesday FC,38,13,8,17,53:70,-17,34:42
19,Preston North End,38,12,6,20,52:69,-17,30:46
20,Derby County,38,8,11,19,55:71,-16,27:49
