position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Aston Villa,38,23,7,8,84:42,42,53:23
2,Liverpool FC,38,21,6,11,78:57,21,48:28
3,Blackburn Rovers,38,18,9,11,73:55,18,45:31
4,Newcastle United,38,19,7,12,70:56,14,45:31
5,Manchester United,38,19,7,12,69:61,8,45:31
6,Sheffield United,38,16,10,12,62:41,21,42:34
7,Bradford City,38,17,8,13,64:47,17,42:34
8,Sunderland AFC,38,18,5,15,66:51,15,41:35
9,Notts County,38,15,10,13,67:59,8,40:36
10,Everton FC,38,16,8,14,51:56,-5,40:36
11,The Wednesday FC,38,15,9,14,60:63,-3,39:37
12,Preston North End,38,15,5,18,52:58,-6,35:41
13,Bury FC,38,12,9,17,62:66,-4,33:43
14,Nottingham Forest,38,11,11,16,54:72,-18,33:43
15,Tottenham Hotspur,38,11,10,17,53:69,-16,32:44
16,Bristol City,38,12,8,18,45:60,-15,32:44
17,Middlesbrough FC,38,11,9,18,56:73,-17,31:45
18,Woolwich Arsenal,38,11,9,18,37:67,-30,31:45
19,Chelsea FC,38,11,7,20,47:70,-23,29:47
20,Bolton Wanderers,38,9,6,23,44:71,-27,24:52
