position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,21,11,6,66:30,36,74
2,Manchester United,38,20,11,7,68:37,31,71
3,Southampton FC,38,20,9,9,52:35,17,69
4,Nottingham Forest,38,20,7,11,68:41,27,67
5,Queens Park Rangers,38,20,6,12,60:32,28,66
6,West Ham United,38,17,7,14,56:49,7,58
7,Tottenham Hotspur,38,16,9,13,60:57,3,57
8,Arsenal FC,38,16,8,14,65:53,12,56
9,Aston Villa,38,15,9,14,54:56,-2,54
10,Everton FC,38,14,12,12,37:39,-2,54
11,Watford FC,38,14,8,16,63:70,-7,50
12,Luton Town,38,14,8,16,50:58,-8,50
13,Norwich City,38,12,13,13,45:43,2,49
14,Leicester City,38,12,12,14,62:62,0,48
15,Coventry City,38,12,10,16,51:61,-10,46
16,West Bromwich Albion,38,13,7,18,43:58,-15,46
17,Birmingham City,38,12,9,17,37:47,-10,45
18,Sunderland AFC,38,11,12,15,38:51,-13,45
19,Ipswich Town,38,12,7,19,48:53,-5,43
20,Stoke City,38,11,9,18,38:62,-24,42
21,Notts County,38,10,9,19,49:66,-17,39
22,Wolverhampton Wanderers,38,5,9,24,26:76,-50,24
