position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,25,5,8,67:29,38,55:21
2,Sunderland AFC,37,20,10,7,67:48,19,50:24
3,Huddersfield Town,39,20,9,10,58:31,27,49:29
4,Manchester City,38,17,9,12,48:43,5,43:33
5,Aston Villa,38,16,10,12,59:47,12,42:34
6,Sheffield United,38,16,9,13,68:60,8,41:35
7,Newcastle United,38,15,11,12,40:36,4,41:35
8,Everton FC,37,17,6,14,57:53,4,40:34
9,Bolton Wanderers,39,14,11,14,49:53,-4,39:39
10,Tottenham Hotspur,38,16,6,16,47:47,0,38:38
11,West Bromwich Albion,37,14,9,14,53:47,6,37:37
12,Arsenal FC,39,14,9,16,56:60,-4,37:41
13,Cardiff City,37,15,6,16,66:55,11,36:38
14,Burnley FC,38,15,6,17,55:53,2,36:40
15,Blackburn Rovers,39,13,10,16,44:60,-16,36:42
16,Preston North End,38,13,9,16,56:58,-2,35:41
17,Middlesbrough FC,38,12,10,16,54:59,-5,34:42
18,Chelsea FC,38,8,15,15,39:50,-11,31:45
19,Birmingham FC,38,10,11,17,36:54,-18,31:45
20,Nottingham Forest,38,12,7,19,37:65,-28,31:45
21,Stoke City,38,9,9,20,46:65,-19,27:49
22,Oldham Athletic,38,9,9,20,32:61,-29,27:49
