position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,20,10,8,77:48,29,50:26
2,Arsenal FC,38,19,11,8,70:51,19,49:27
3,Portsmouth FC,38,20,8,10,66:51,15,48:28
4,Tottenham Hotspur,38,20,7,11,69:48,21,47:29
5,Aston Villa,38,17,9,12,69:61,8,43:33
6,Liverpool FC,38,12,18,8,55:50,5,42:34
7,Blackpool FC,38,17,8,13,58:54,4,42:34
8,Bolton Wanderers,38,16,10,12,57:57,0,42:34
9,Newcastle United,38,15,9,14,87:69,18,39:37
10,Preston North End,38,14,11,13,66:52,14,39:37
11,Charlton Athletic,38,15,9,14,62:61,1,39:37
12,Burnley FC,38,14,10,14,53:51,2,38:38
13,Wolverhampton Wanderers,38,12,13,13,70:62,8,37:39
14,Manchester City,38,12,13,13,55:53,2,37:39
15,Sunderland AFC,38,13,10,15,63:57,6,36:40
16,West Bromwich Albion,38,12,12,14,68:73,-5,36:40
17,Derby County,38,13,7,18,59:75,-16,33:43
18,Chelsea FC,38,13,7,18,46:62,-16,33:43
19,Middlesbrough FC,38,12,6,20,55:84,-29,30:46
20,Stoke City,38,11,7,20,43:76,-33,29:47
21,Fulham FC,38,7,10,21,54:72,-18,24:52
22,Huddersfield Town,38,8,7,23,44:79,-35,23:53
