position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Arsenal FC,38,22,11,5,71:29,42,55:21
2,Manchester United,38,17,14,7,72:44,28,48:28
3,Derby County,38,17,12,9,73:51,22,46:30
4,Burnley FC,38,17,12,9,51:40,11,46:30
5,Preston North End,38,19,7,12,61:55,6,45:31
6,Wolverhampton Wanderers,38,16,9,13,74:64,10,41:35
7,Aston Villa,38,16,9,13,59:54,5,41:35
8,Portsmouth FC,38,17,6,15,62:46,16,40:36
9,Manchester City,38,15,10,13,50:42,8,40:36
10,Sheffield United,38,15,10,13,63:63,0,40:36
11,Blackpool FC,38,14,10,14,48:39,9,38:38
12,Liverpool FC,38,14,9,15,59:56,3,37:39
13,Everton FC,38,16,5,17,50:61,-11,37:39
14,Middlesbrough FC,38,14,8,16,69:65,4,36:40
15,Chelsea FC,38,13,9,16,51:62,-11,35:41
16,Stoke City,38,13,9,16,38:51,-13,35:41
17,Huddersfield Town,38,11,10,17,48:57,-9,32:44
18,Bolton Wanderers,38,14,4,20,42:57,-15,32:44
19,Charlton Athletic,38,13,6,19,48:65,-17,32:44
20,Sunderland AFC,38,11,9,18,49:64,-15,31:45
21,Blackburn Rovers,38,10,9,19,47:65,-18,29:47
22,Grimsby Town,38,7,6,25,43:98,-55,20:56
