position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Aston Villa,38,24,7,7,66:37,29,55:21
2,Ipswich Town,38,22,10,6,75:38,37,54:22
3,Liverpool FC,38,17,15,6,61:39,22,49:27
4,West Bromwich Albion,38,18,11,9,53:37,16,47:29
5,Southampton FC,38,19,8,11,72:52,20,46:30
6,Nottingham Forest,38,17,11,10,57:40,17,45:31
7,Arsenal FC,38,15,15,8,52:42,10,45:31
8,Manchester United,38,12,18,8,47:34,13,42:34
9,Tottenham Hotspur,38,14,13,11,64:59,5,41:35
10,Leeds United,38,16,8,14,37:45,-8,40:36
11,Birmingham City,38,13,11,14,49:54,-5,37:39
12,Stoke City,38,10,16,12,44:55,-11,36:40
13,Middlesbrough FC,38,15,5,18,50:52,-2,35:41
14,Wolverhampton Wanderers,38,13,9,16,39:46,-7,35:41
15,Manchester City,38,12,10,16,49:55,-6,34:42
16,Everton FC,38,12,9,17,49:52,-3,33:43
17,Sunderland AFC,38,12,7,19,46:49,-3,31:45
18,Coventry City,38,11,8,19,43:65,-22,30:46
19,Norwich City,38,11,7,20,43:67,-24,29:47
20,Brighton & Hove Albion,38,10,7,21,45:65,-20,27:49
21,Leicester City,38,11,5,22,33:61,-28,27:49
22,Crystal Palace,38,6,6,26,43:73,-30,18:58
