position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Blackburn Rovers,38,26,8,4,76:32,44,86
2,Manchester United,38,24,8,6,72:25,47,80
3,Newcastle United,39,19,12,8,63:42,21,69
4,Nottingham Forest,38,19,10,9,65:40,25,67
5,Liverpool FC,38,18,11,9,59:33,26,65
6,Leeds United,38,17,12,9,53:35,18,63
7,Tottenham Hotspur,38,15,12,11,62:54,8,57
8,Wimbledon FC,38,15,8,15,46:61,-15,53
9,Queens Park Rangers,37,14,9,14,55:54,1,51
10,Coventry City,38,12,13,13,42:55,-13,49
11,Southampton FC,38,11,15,12,57:61,-4,48
12,Arsenal FC,38,12,10,16,46:46,0,46
13,Chelsea FC,37,11,13,13,46:52,-6,46
14,Everton FC,38,11,13,14,44:51,-7,46
15,Manchester City,39,11,13,15,48:58,-10,46
16,Sheffield Wednesday,38,12,10,16,45:55,-10,46
17,West Ham United,38,12,9,17,40:45,-5,45
18,Aston Villa,38,10,14,14,48:50,-2,44
19,Norwich City,38,10,12,16,34:48,-14,42
20,Crystal Palace,38,9,12,17,29:44,-15,39
21,Leicester City,38,5,9,24,40:75,-35,24
22,Ipswich Town,38,6,5,27,32:86,-54,23
