position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,23,5,10,79:46,33,51:25
2,Preston North End,38,17,13,8,54:39,15,47:29
3,The Wednesday FC,38,18,8,12,63:52,11,44:32
4,Newcastle United,38,18,7,13,74:48,26,43:33
5,Manchester City,38,19,5,14,73:54,19,43:33
6,Bolton Wanderers,38,17,7,14,81:67,14,41:35
7,Birmingham FC,38,17,7,14,65:59,6,41:35
8,Aston Villa,38,17,6,15,72:56,16,40:36
9,Blackburn Rovers,38,16,8,14,54:52,2,40:36
10,Stoke City,38,16,7,15,54:55,-1,39:37
11,Everton FC,38,15,7,16,70:66,4,37:39
12,Woolwich Arsenal,38,15,7,16,62:64,-2,37:39
13,Sheffield United,38,15,6,17,57:62,-5,36:40
14,Sunderland AFC,38,15,5,18,61:70,-9,35:41
15,Derby County,38,14,7,17,39:58,-19,35:41
16,Notts County,38,11,12,15,55:71,-16,34:42
17,Bury FC,38,11,10,17,57:74,-17,32:44
18,Middlesbrough FC,38,10,11,17,56:71,-15,31:45
19,Nottingham Forest,38,13,5,20,58:79,-21,31:45
20,Wolverhampton Wanderers,38,8,7,23,58:99,-41,23:53
