position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,23,8,7,78:48,30,54:22
2,Blackpool FC,38,19,9,10,82:56,26,47:29
3,Manchester City,38,17,10,11,74:58,16,44:32
4,Wolverhampton Wanderers,38,18,8,12,84:61,23,44:32
5,Burnley FC,38,16,8,14,58:49,9,40:36
6,Arsenal FC,38,15,10,13,56:59,-3,40:36
7,Sunderland AFC,38,16,8,14,72:85,-13,40:36
8,Bolton Wanderers,38,16,7,15,64:48,16,39:37
9,Birmingham City,38,15,9,14,66:53,13,39:37
10,Portsmouth FC,38,15,8,15,74:80,-6,38:38
11,West Bromwich Albion,38,17,4,17,54:64,-10,38:38
12,Newcastle United,38,16,5,17,79:65,14,37:39
13,Luton Town,38,15,7,16,62:60,2,37:39
14,Charlton Athletic,38,16,5,17,72:74,-2,37:39
15,Cardiff City,38,14,8,16,50:64,-14,36:40
16,Preston North End,38,14,7,17,69:65,4,35:41
17,Everton FC,38,13,9,16,50:61,-11,35:41
18,Chelsea FC,38,13,9,16,56:73,-17,35:41
19,Tottenham Hotspur,39,14,6,19,55:66,-11,34:44
20,Sheffield United,38,11,8,19,56:69,-13,30:46
21,Aston Villa,39,9,12,18,48:67,-19,30:48
22,Huddersfield Town,38,11,7,20,46:80,-34,29:47
