position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,25,10,3,76:36,40,85
2,Blackburn Rovers,38,25,7,6,60:30,30,82
3,Newcastle United,38,20,8,10,75:37,38,68
4,Arsenal FC,38,16,17,5,50:23,27,65
5,Leeds United,38,15,15,8,54:38,16,60
6,Sheffield Wednesday,38,15,13,10,69:52,17,58
7,Liverpool FC,38,16,9,13,56:49,7,57
8,Wimbledon FC,38,15,11,12,47:47,0,56
9,Queens Park Rangers,38,14,11,13,56:55,1,53
10,Aston Villa,38,13,12,13,40:42,-2,51
11,Coventry City,38,13,11,14,40:43,-3,50
12,Norwich City,38,11,15,12,62:58,4,48
13,Chelsea FC,38,12,10,16,43:47,-4,46
14,West Ham United,38,11,12,15,39:52,-13,45
15,Tottenham Hotspur,38,10,12,16,49:53,-4,42
16,Manchester City,38,9,15,14,34:43,-9,42
17,Ipswich Town,38,9,14,15,33:50,-17,41
18,Everton FC,38,11,7,20,38:56,-18,40
19,Oldham Athletic,38,9,11,18,38:62,-24,38
20,Southampton FC,38,10,6,22,39:58,-19,36
21,Sheffield United,38,6,18,14,36:55,-19,36
22,Swindon Town,38,4,14,20,41:89,-48,26
