position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Sunderland AFC,38,25,4,9,86:43,43,54:22
2,Aston Villa,38,19,12,7,86:52,34,50:26
3,The Wednesday FC,38,21,7,10,75:55,20,49:27
4,Manchester United,38,19,8,11,69:43,26,46:30
5,Blackburn Rovers,38,16,13,9,79:43,36,45:31
6,Manchester City,38,18,8,12,53:37,16,44:32
7,Derby County,38,17,8,13,69:66,3,42:34
8,Bolton Wanderers,38,16,10,12,62:63,-1,42:34
9,Oldham Athletic,38,14,14,10,50:55,-5,42:34
10,West Bromwich Albion,38,13,12,13,57:50,7,38:38
11,Everton FC,38,15,7,16,48:54,-6,37:39
12,Liverpool FC,38,16,5,17,61:71,-10,37:39
13,Bradford City,38,12,11,15,50:60,-10,35:41
14,Newcastle United,38,13,8,17,47:47,0,34:42
15,Sheffield United,38,14,6,18,56:70,-14,34:42
16,Middlesbrough FC,38,11,10,17,55:69,-14,32:44
17,Tottenham Hotspur,38,12,6,20,45:72,-27,30:46
18,Chelsea FC,38,11,6,21,51:73,-22,28:48
19,Notts County,38,7,9,22,28:56,-28,23:53
20,Woolwich Arsenal,38,3,12,23,26:74,-48,18:58
