position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Everton FC,38,21,11,6,78:40,38,53:23
2,Burnley FC,38,22,8,8,74:47,27,52:24
3,Tottenham Hotspur,38,21,8,9,99:57,42,50:26
4,Leicester City,38,19,11,8,73:44,29,49:27
5,Wolverhampton Wanderers,38,17,9,12,81:61,20,43:33
6,Arsenal FC,38,17,9,12,77:67,10,43:33
7,Sheffield Wednesday,38,16,10,12,69:60,9,42:34
8,Liverpool FC,38,16,9,13,68:50,18,41:35
9,Nottingham Forest,38,16,8,14,63:64,-1,40:36
10,Sheffield United,38,15,9,14,52:56,-4,39:37
11,Blackburn Rovers,38,13,11,14,69:64,5,37:39
12,West Ham United,38,12,12,14,67:64,3,36:40
13,Aston Villa,38,14,8,16,58:59,-1,36:40
14,Blackpool FC,38,11,13,14,48:57,-9,35:41
15,West Bromwich Albion,38,14,7,17,63:73,-10,35:41
16,Fulham FC,38,14,7,17,47:67,-20,35:41
17,Manchester United,38,12,9,17,61:72,-11,33:43
18,Bolton Wanderers,38,14,5,19,49:67,-18,33:43
19,Birmingham City,38,9,13,16,57:77,-20,31:45
20,Ipswich Town,38,10,10,18,51:73,-22,30:46
21,Manchester City,38,8,10,20,51:93,-42,26:50
22,Leyton Orient,38,5,7,26,34:77,-43,17:59
