position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester City,38,19,12,7,94:56,38,50:26
2,Arsenal FC,38,17,15,6,76:45,31,49:27
3,Charlton Athletic,38,18,11,9,52:46,6,47:29
4,Derby County,38,19,7,12,89:83,6,45:31
5,Middlesbrough FC,38,18,8,12,69:63,6,44:32
6,Portsmouth FC,38,17,10,11,60:55,5,44:32
7,Wolverhampton Wanderers,38,19,5,14,78:64,14,43:33
8,Brentford FC,38,16,10,12,76:70,6,42:34
9,Sunderland AFC,38,18,5,15,84:75,9,41:35
10,Chelsea FC,38,13,12,13,49:52,-3,38:38
11,Birmingham FC,38,12,13,13,58:53,5,37:39
12,Everton FC,38,14,8,16,78:72,6,36:40
13,Huddersfield Town,38,11,14,13,60:59,1,36:40
14,Preston North End,38,12,12,14,52:62,-10,36:40
15,Stoke City,38,12,11,15,62:54,8,35:41
16,Grimsby Town,38,14,7,17,75:78,-3,35:41
17,Liverpool FC,38,11,9,18,57:78,-21,31:45
18,West Bromwich Albion,38,13,5,20,70:95,-25,31:45
19,Sheffield Wednesday,38,9,12,17,50:59,-9,30:46
20,Bolton Wanderers,38,9,12,17,42:65,-23,30:46
21,Manchester United,38,9,10,19,50:73,-23,28:48
22,Leeds United,38,12,4,22,52:76,-24,28:48
