position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,West Bromwich Albion,38,27,2,9,99:44,55,56:20
2,Burnley FC,39,20,8,11,57:55,2,48:30
3,Chelsea FC,38,21,4,13,54:42,12,46:30
4,Liverpool FC,38,18,8,12,57:40,17,44:32
5,Sunderland AFC,38,20,3,15,67:56,11,43:33
6,Bolton Wanderers,38,17,9,12,64:56,8,43:33
7,Manchester City,38,17,7,14,68:57,11,41:35
8,Newcastle United,39,16,8,15,41:38,3,40:38
9,Aston Villa,38,17,5,16,71:65,6,39:37
10,Bradford Park Avenue,37,14,10,13,57:56,1,38:36
11,Bradford City,38,13,11,14,51:55,-4,37:39
12,Arsenal FC,38,14,9,15,52:57,-5,37:39
13,Everton FC,38,12,12,14,66:59,7,36:40
14,Sheffield United,38,14,8,16,54:61,-7,36:40
15,Middlesbrough FC,39,13,10,16,55:63,-8,36:42
16,Oldham Athletic,38,14,7,17,47:49,-2,35:41
17,Manchester United,37,11,12,14,46:41,5,34:40
18,Preston North End,37,13,7,17,54:70,-16,33:41
19,Notts County,38,11,10,17,54:71,-17,32:44
20,Derby County,38,10,11,17,38:57,-19,31:45
21,Blackburn Rovers,38,10,10,18,49:75,-26,30:46
22,The Wednesday FC,38,6,9,23,27:61,-34,21:55
