position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,23,6,9,81:48,33,52:24
2,Aston Villa,38,17,9,12,77:59,18,43:33
3,Manchester City,38,16,11,11,62:54,8,43:33
4,Newcastle United,38,15,12,11,65:54,11,42:34
5,The Wednesday FC,38,19,4,15,73:64,9,42:34
6,Middlesbrough FC,38,17,7,14,54:45,9,41:35
7,Bury FC,38,14,11,13,58:61,-3,39:37
8,Liverpool FC,38,16,6,16,68:61,7,38:38
9,Nottingham Forest,38,13,11,14,59:62,-3,37:39
10,Bristol City,38,12,12,14,58:61,-3,36:40
11,Everton FC,38,15,6,17,58:64,-6,36:40
12,Preston North End,38,12,12,14,47:53,-6,36:40
13,Chelsea FC,38,14,8,16,53:62,-9,36:40
14,Blackburn Rovers,38,12,12,14,51:63,-12,36:40
 ,Woolwich Arsenal,38,12,12,14,51:63,-12,36:40
16,Sunderland AFC,38,16,3,19,78:75,3,35:41
17,Sheffield United,38,12,11,15,52:58,-6,35:41
18,Notts County,38,13,8,17,39:51,-12,34:42
19,Bolton Wanderers,38,14,5,19,52:58,-6,33:43
20,Birmingham FC,38,9,12,17,40:60,-20,30:46
