position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Wolverhampton Wanderers,38,23,5,10,100:62,38,51:25
2,Burnley FC,38,23,5,10,80:58,22,51:25
3,Tottenham Hotspur,38,19,11,8,79:46,33,49:27
4,Sheffield Wednesday,38,18,10,10,74:51,23,46:30
5,West Bromwich Albion,38,17,10,11,77:53,24,44:32
6,Newcastle United,38,17,8,13,81:72,9,42:34
7,Bolton Wanderers,38,17,8,13,52:48,4,42:34
8,Preston North End,38,14,12,12,71:71,0,40:36
9,Manchester United,38,16,7,15,89:72,17,39:37
10,Blackpool FC,38,15,8,15,56:62,-6,38:38
11,Arsenal FC,38,14,9,15,63:71,-8,37:39
12,West Ham United,38,16,5,17,69:80,-11,37:39
13,Fulham FC,38,14,9,15,66:78,-12,37:39
14,Blackburn Rovers,38,16,4,18,59:66,-7,36:40
15,Chelsea FC,38,13,8,17,73:83,-10,34:42
16,Leicester City,38,11,12,15,59:69,-10,34:42
17,Everton FC,38,12,9,17,69:70,-1,33:43
18,Manchester City,38,14,3,21,73:80,-7,31:45
19,Nottingham Forest,38,12,7,19,46:72,-26,31:45
20,Birmingham City,38,10,9,19,54:77,-23,29:47
21,Leeds United,38,9,10,19,61:90,-29,28:48
22,Luton Town,38,8,11,19,46:66,-20,27:49
