position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Huddersfield Town,38,19,14,5,62:26,36,52:24
2,West Bromwich Albion,38,22,8,8,56:31,25,52:24
3,Bolton Wanderers,38,20,10,8,72:32,40,50:26
4,Bury FC,38,16,14,8,50:44,6,46:30
5,Sunderland AFC,38,19,7,12,61:46,15,45:31
6,Liverpool FC,38,18,9,11,60:52,8,45:31
7,Newcastle United,38,14,16,8,55:38,17,44:32
8,Notts County,38,14,13,11,38:28,10,41:35
9,Birmingham FC,38,14,12,12,42:49,-7,40:36
10,Tottenham Hotspur,38,13,12,13,49:41,8,38:38
11,Manchester City,38,14,9,15,69:64,5,37:39
12,Cardiff City,38,14,9,15,51:51,0,37:39
13,West Ham United,38,13,11,14,51:55,-4,37:39
14,Sheffield United,38,12,12,14,49:54,-5,36:40
15,Aston Villa,38,11,12,15,54:69,-15,34:42
16,Blackburn Rovers,38,11,11,16,52:58,-6,33:43
17,Burnley FC,38,11,10,17,44:66,-22,32:44
18,Everton FC,38,11,9,18,37:55,-18,31:45
19,Leeds United,38,9,12,17,41:53,-12,30:46
20,Arsenal FC,38,12,5,21,39:55,-16,29:47
21,Preston North End,38,10,4,24,36:69,-33,24:52
22,Nottingham Forest,38,6,11,21,29:61,-32,23:53
