position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,20,13,5,56:30,26,53:23
2,Tottenham Hotspur,38,20,8,10,62:35,27,48:28
3,Burnley FC,38,21,5,12,69:48,21,47:29
4,Aston Villa,38,21,3,14,70:47,23,45:31
5,Middlesbrough FC,38,15,13,10,70:59,11,43:33
6,Bolton Wanderers,38,18,6,14,60:52,8,42:34
7,Cardiff City,37,17,8,12,53:47,6,42:32
8,Manchester City,38,16,9,13,60:62,-2,41:35
9,Newcastle United,38,15,10,13,49:40,9,40:36
10,Chelsea FC,38,14,12,12,33:39,-6,40:36
11,Sunderland AFC,38,16,7,15,57:54,3,39:37
12,West Bromwich Albion,38,14,9,15,45:54,-9,37:39
13,Sheffield United,38,14,8,16,51:48,3,36:40
14,Preston North End,39,12,11,16,38:57,-19,35:43
15,Blackburn Rovers,38,12,10,16,47:51,-4,34:42
16,Huddersfield Town,38,12,9,17,42:51,-9,33:43
17,Birmingham FC,38,13,6,19,42:55,-13,32:44
18,Oldham Athletic,38,11,10,17,33:46,-13,32:44
19,Bradford City,38,11,10,17,46:65,-19,32:44
20,Everton FC,38,10,11,17,52:51,1,31:45
21,Arsenal FC,38,12,6,20,41:54,-13,30:46
22,Manchester United,38,7,10,21,35:66,-31,24:52
