position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Everton FC,38,25,8,5,63:32,31,58:18
2,Leeds United,38,19,15,4,77:42,35,53:23
3,Chelsea FC,38,19,13,6,63:41,22,51:25
4,Derby County,38,19,8,11,57:34,23,46:30
5,Liverpool FC,38,17,11,10,59:41,18,45:31
6,Coventry City,38,18,9,11,52:43,9,45:31
7,Newcastle United,38,16,11,11,48:29,19,43:33
8,Manchester United,38,13,16,9,61:52,9,42:34
9,Manchester City,38,15,10,13,53:45,8,40:36
10,Stoke City,38,13,14,11,50:49,1,40:36
11,Wolverhampton Wanderers,38,12,15,11,53:49,4,39:37
12,Tottenham Hotspur,38,15,8,15,47:51,-4,38:38
13,Arsenal FC,38,10,17,11,42:42,0,37:39
14,Burnley FC,38,12,13,13,53:55,-2,37:39
15,Nottingham Forest,38,10,17,11,46:59,-13,37:39
16,West Bromwich Albion,38,12,8,18,50:62,-12,32:44
17,West Ham United,38,10,11,17,46:58,-12,31:45
18,Southampton FC,38,5,16,17,43:60,-17,26:50
19,Ipswich Town,38,8,10,20,34:58,-24,26:50
20,Crystal Palace,38,6,13,19,33:62,-29,25:51
21,Sheffield Wednesday,38,7,9,22,36:65,-29,23:53
22,Sunderland AFC,38,5,12,21,26:63,-37,22:54
