position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Blackburn Rovers,38,20,9,9,60:43,17,49:27
2,Everton FC,38,20,6,12,46:42,4,46:30
3,Newcastle United,38,18,8,12,64:50,14,44:32
4,Bolton Wanderers,38,20,3,15,54:43,11,43:33
5,The Wednesday FC,38,16,9,13,69:49,20,41:35
6,Aston Villa,38,17,7,14,76:63,13,41:35
7,Middlesbrough FC,38,16,8,14,56:45,11,40:36
8,Sunderland AFC,38,14,11,13,58:51,7,39:37
9,West Bromwich Albion,38,15,9,14,43:47,-4,39:37
10,Woolwich Arsenal,38,15,8,15,55:59,-4,38:38
11,Bradford City,38,15,8,15,46:50,-4,38:38
12,Tottenham Hotspur,38,14,9,15,53:53,0,37:39
13,Manchester United,38,13,11,14,45:60,-15,37:39
14,Sheffield United,38,13,10,15,63:56,7,36:40
15,Manchester City,38,13,9,16,56:58,-2,35:41
16,Notts County,38,14,7,17,46:63,-17,35:41
17,Liverpool FC,38,12,10,16,49:55,-6,34:42
18,Oldham Athletic,38,12,10,16,46:54,-8,34:42
19,Preston North End,38,13,7,18,40:57,-17,33:43
20,Bury FC,38,6,9,23,32:59,-27,21:55
