position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Ipswich Town,38,22,6,10,84:63,21,50:26
2,Burnley FC,38,20,9,9,97:63,34,49:27
3,Tottenham Hotspur,38,18,10,10,79:64,15,46:30
4,Everton FC,38,18,9,11,75:49,26,45:31
5,Sheffield United,38,17,9,12,56:64,-8,43:33
6,Sheffield Wednesday,38,18,6,14,66:50,16,42:34
7,West Ham United,38,16,9,13,69:74,-5,41:35
8,Aston Villa,38,16,8,14,52:48,4,40:36
9,Arsenal FC,38,15,9,14,64:64,0,39:37
10,Blackburn Rovers,38,14,11,13,46:47,-1,39:37
11,Blackpool FC,38,14,10,14,65:64,1,38:38
12,Leicester City,38,16,5,17,66:60,6,37:39
13,Manchester City,38,15,7,16,71:75,-4,37:39
14,Birmingham City,38,14,9,15,60:71,-11,37:39
15,Manchester United,38,14,8,16,68:69,-1,36:40
16,West Bromwich Albion,38,11,13,14,70:64,6,35:41
17,Bolton Wanderers,38,13,9,16,56:63,-7,35:41
18,Wolverhampton Wanderers,38,12,9,17,64:75,-11,33:43
19,Nottingham Forest,38,11,10,17,56:71,-15,32:44
20,Fulham FC,38,11,7,20,60:69,-9,29:47
21,Cardiff City,38,7,14,17,40:67,-27,28:48
22,Chelsea FC,38,9,7,22,55:85,-30,25:51
