position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Huddersfield Town,38,21,11,6,84:52,32,53:23
2,Arsenal FC,38,20,8,10,79:58,21,48:28
3,Sunderland AFC,38,19,6,13,88:69,19,44:32
4,Bury FC,38,18,6,14,77:74,3,42:34
5,Sheffield United,38,17,7,14,93:75,18,41:35
6,Aston Villa,38,14,12,12,76:67,9,40:36
7,Bolton Wanderers,38,15,10,13,72:70,2,40:36
8,Manchester United,38,17,6,15,58:61,-3,40:36
9,Liverpool FC,38,13,13,12,63:57,6,39:37
10,Newcastle United,38,14,10,14,75:66,9,38:38
11,Birmingham FC,38,15,7,16,64:71,-7,37:39
12,Tottenham Hotspur,38,14,9,15,61:70,-9,37:39
13,Blackburn Rovers,38,13,10,15,78:75,3,36:40
14,West Bromwich Albion,38,14,8,16,72:71,1,36:40
15,Everton FC,38,9,18,11,66:69,-3,36:40
16,Leicester City,38,13,10,15,66:71,-5,36:40
17,Cardiff City,38,15,6,17,54:67,-13,36:40
18,West Ham United,38,14,7,17,61:71,-10,35:41
19,Leeds United,38,13,7,18,59:70,-11,33:43
20,Notts County,38,12,7,19,47:61,-14,31:45
21,Manchester City,38,9,11,18,78:92,-14,29:47
22,Burnley FC,38,10,9,19,70:104,-34,29:47
