position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Manchester United,38,22,8,8,78:47,31,52:24
2,Manchester City,38,23,5,10,78:39,39,51:25
3,Leeds United,38,21,9,8,65:32,33,51:25
4,Liverpool FC,38,19,11,8,59:36,23,49:27
5,Everton FC,38,21,5,12,61:37,24,47:29
6,Chelsea FC,38,16,12,10,58:62,-4,44:32
7,West Bromwich Albion,38,16,11,11,67:54,13,43:33
8,Tottenham Hotspur,38,17,9,12,61:51,10,43:33
9,Newcastle United,38,13,15,10,50:52,-2,41:35
10,Arsenal FC,38,14,10,14,54:52,2,38:38
11,Nottingham Forest,38,13,10,15,48:54,-6,36:40
12,Burnley FC,38,12,10,16,57:67,-10,34:42
13,Southampton FC,38,13,8,17,62:76,-14,34:42
14,Sheffield Wednesday,38,11,11,16,50:58,-8,33:43
15,West Ham United,38,12,8,18,69:67,2,32:44
16,Sunderland AFC,38,11,10,17,47:59,-12,32:44
17,Stoke City,38,13,6,19,47:64,-17,32:44
18,Leicester City,38,10,11,17,55:66,-11,31:45
19,Coventry City,38,9,13,16,49:66,-17,31:45
20,Wolverhampton Wanderers,38,12,6,20,60:73,-13,30:46
21,Sheffield United,38,10,10,18,45:65,-20,30:46
22,Fulham FC,38,8,6,24,49:92,-43,22:54
