position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Everton FC,38,25,6,7,82:42,40,81
2,Tottenham Hotspur,38,21,7,10,69:41,28,70
3,Liverpool FC,38,19,10,9,60:31,29,67
4,Manchester United,38,19,9,10,69:44,25,66
5,Sheffield Wednesday,38,16,14,8,55:40,15,62
6,Southampton FC,38,17,11,10,50:43,7,62
7,Nottingham Forest,38,18,6,14,54:44,10,60
8,Chelsea FC,38,16,11,11,56:42,14,59
9,Arsenal FC,38,17,8,13,56:44,12,59
10,Aston Villa,38,13,11,14,50:55,-5,50
11,Watford FC,38,12,12,14,73:67,6,48
12,West Bromwich Albion,38,14,6,18,48:57,-9,48
13,Norwich City,38,13,9,16,46:59,-13,48
14,West Ham United,38,12,11,15,48:61,-13,47
15,Queens Park Rangers,38,12,11,15,46:59,-13,47
16,Coventry City,38,14,5,19,42:55,-13,47
17,Leicester City,38,13,6,19,59:65,-6,45
18,Newcastle United,38,11,12,15,50:66,-16,45
19,Luton Town,38,12,8,18,49:60,-11,44
20,Ipswich Town,38,11,10,17,39:52,-13,43
21,Sunderland AFC,38,10,9,19,37:52,-15,39
22,Stoke City,38,3,8,27,23:82,-59,17
