position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Wolverhampton Wanderers,38,22,6,10,81:48,33,50:26
2,Liverpool FC,38,21,7,10,76:50,26,49:27
3,Manchester United,38,19,11,8,88:54,34,49:27
4,Stoke City,38,20,7,11,80:52,28,47:29
5,Blackpool FC,38,21,5,12,69:64,5,47:29
6,Preston North End,38,17,10,11,73:67,6,44:32
7,Sheffield United,38,19,5,14,82:72,10,43:33
8,Middlesbrough FC,38,17,7,14,71:60,11,41:35
9,Aston Villa,38,17,7,14,58:47,11,41:35
10,Sunderland AFC,38,16,8,14,61:60,1,40:36
11,Portsmouth FC,38,15,7,16,62:58,4,37:39
12,Derby County,38,16,5,17,68:69,-1,37:39
13,Everton FC,38,14,9,15,55:65,-10,37:39
14,Blackburn Rovers,38,14,8,16,43:43,0,36:40
15,Arsenal FC,38,14,7,17,61:65,-4,35:41
16,Chelsea FC,38,14,7,17,62:75,-13,35:41
17,Grimsby Town,38,12,11,15,53:71,-18,35:41
18,Bolton Wanderers,38,13,8,17,54:58,-4,34:42
19,Charlton Athletic,38,10,10,18,53:67,-14,30:46
20,Huddersfield Town,38,12,5,21,51:77,-26,29:47
21,Brentford FC,38,9,5,24,44:82,-38,23:53
22,Leeds United,38,6,5,27,43:84,-41,17:59
