position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Newcastle United,38,24,5,9,92:53,39,53:23
2,Huddersfield Town,38,16,15,7,75:56,19,47:29
3,Sunderland AFC,38,20,6,12,89:61,28,46:30
4,West Ham United,38,19,6,13,78:58,20,44:32
5,Burnley FC,38,18,8,12,85:74,11,44:32
6,Bolton Wanderers,38,17,9,12,74:55,19,43:33
7,Leicester City,38,15,10,13,78:66,12,40:36
8,Liverpool FC,38,17,6,15,65:53,12,40:36
9,Aston Villa,38,17,5,16,73:75,-2,39:37
10,Sheffield United,38,15,9,14,68:82,-14,39:37
11,Tottenham Hotspur,38,14,9,15,70:71,-1,37:39
12,Cardiff City,38,14,9,15,51:61,-10,37:39
13,Arsenal FC,38,14,9,15,65:81,-16,37:39
14,Manchester United,38,13,10,15,48:60,-12,36:40
15,Birmingham FC,38,16,3,19,55:63,-8,35:41
16,Derby County,38,14,6,18,78:68,10,34:42
17,The Wednesday FC,38,13,8,17,67:85,-18,34:42
18,Blackburn Rovers,38,13,8,17,68:87,-19,34:42
19,Bury FC,38,11,11,16,63:70,-7,33:43
20,Everton FC,38,11,8,19,59:85,-26,30:46
21,Leeds United,38,10,8,20,62:78,-16,28:48
22,West Bromwich Albion,38,10,6,22,61:82,-21,26:50
