position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Everton FC,38,19,8,11,76:47,29,46:30
2,Oldham Athletic,38,17,11,10,70:56,14,45:31
3,Blackburn Rovers,38,18,7,13,83:61,22,43:33
4,Burnley FC,38,18,7,13,61:47,14,43:33
5,Manchester City,38,15,13,10,49:39,10,43:33
6,Sheffield United,38,15,13,10,49:41,8,43:33
7,The Wednesday FC,38,15,13,10,61:54,7,43:33
8,Sunderland AFC,38,18,5,15,81:72,9,41:35
9,Bradford Park Avenue,38,17,7,14,69:65,4,41:35
10,West Bromwich Albion,38,15,10,13,49:43,6,40:36
11,Bradford City,38,13,14,11,55:49,6,40:36
12,Middlesbrough FC,38,13,12,13,62:74,-12,38:38
13,Liverpool FC,38,14,9,15,65:75,-10,37:39
14,Aston Villa,38,13,11,14,62:72,-10,37:39
15,Newcastle United,38,11,10,17,46:48,-2,32:44
16,Notts County,38,9,13,16,41:57,-16,31:45
17,Bolton Wanderers,38,11,8,19,68:84,-16,30:46
18,Manchester United,38,9,12,17,46:62,-16,30:46
19,Chelsea FC,38,8,13,17,51:65,-14,29:47
20,Tottenham Hotspur,38,8,12,18,57:90,-33,28:48
