position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,22,10,6,76:36,40,76
2,Everton FC,38,23,7,8,79:40,39,76
3,West Ham United,38,22,6,10,65:37,28,72
4,Manchester United,38,21,8,9,65:33,32,71
5,Chelsea FC,38,20,9,9,55:51,4,69
6,Arsenal FC,38,19,8,11,46:41,5,65
7,Luton Town,38,17,10,11,56:39,17,61
8,Sheffield Wednesday,38,17,10,11,55:52,3,61
9,Nottingham Forest,38,17,9,12,65:51,14,60
10,Watford FC,38,16,10,12,65:52,13,58
11,Tottenham Hotspur,38,17,6,15,64:47,17,57
12,Newcastle United,38,15,11,12,59:67,-8,56
13,Queens Park Rangers,38,13,7,18,45:56,-11,46
14,Manchester City,38,11,10,17,40:51,-11,43
15,Southampton FC,38,11,9,18,46:53,-7,42
16,Oxford United,38,9,12,17,55:72,-17,39
17,Leicester City,38,9,11,18,51:68,-17,38
18,Aston Villa,38,8,14,16,42:59,-17,38
19,Coventry City,38,9,10,19,45:64,-19,37
20,Ipswich Town,38,10,7,21,29:51,-22,37
21,Birmingham City,38,8,5,25,29:61,-32,29
22,West Bromwich Albion,38,4,11,23,30:81,-51,23
