position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Arsenal FC,38,22,8,8,66:42,24,52:24
2,Huddersfield Town,38,20,10,8,78:53,25,50:26
3,Tottenham Hotspur,38,19,7,12,70:49,21,45:31
4,Derby County,38,17,9,12,67:48,19,43:33
5,Manchester City,38,15,11,12,54:62,-8,41:35
6,Sheffield Wednesday,38,16,8,14,56:57,-1,40:36
7,Sunderland AFC,38,14,11,13,75:52,23,39:37
8,Blackburn Rovers,38,16,7,15,66:73,-7,39:37
9,Everton FC,38,12,14,12,57:55,2,38:38
10,Stoke City,38,14,10,14,52:62,-10,38:38
11,Leeds United,38,15,7,16,69:61,8,37:39
12,West Bromwich Albion,38,14,9,15,69:65,4,37:39
13,Portsmouth FC,38,13,11,14,44:51,-7,37:39
14,Leicester City,38,13,11,14,53:61,-8,37:39
15,Aston Villa,38,14,8,16,70:67,3,36:40
16,Wolverhampton Wanderers,38,12,12,14,68:77,-9,36:40
17,Middlesbrough FC,38,14,7,17,60:73,-13,35:41
18,Liverpool FC,38,12,10,16,70:72,-2,34:42
19,Chelsea FC,38,13,7,18,60:60,0,33:43
20,Birmingham FC,38,10,11,17,43:49,-6,31:45
21,Newcastle United,38,8,14,16,52:68,-16,30:46
22,Sheffield United,38,11,6,21,55:97,-42,28:48
