position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Tottenham Hotspur,38,23,9,6,79:41,38,55:21
2,Manchester United,38,21,8,9,63:38,25,50:26
3,Blackpool FC,38,19,10,9,75:46,29,48:28
4,Middlesbrough FC,38,18,9,11,73:58,15,45:31
5,Newcastle United,38,16,13,9,58:49,9,45:31
6,Arsenal FC,38,18,8,12,68:50,18,44:32
7,Portsmouth FC,38,16,12,10,65:61,4,44:32
8,Bolton Wanderers,38,19,4,15,61:57,4,42:34
9,Burnley FC,38,13,13,12,46:39,7,39:37
10,Wolverhampton Wanderers,38,15,7,16,69:53,16,37:39
11,Liverpool FC,38,13,11,14,48:56,-8,37:39
12,Derby County,38,15,7,16,78:71,7,37:39
13,Stoke City,38,11,14,13,41:47,-6,36:40
14,Sunderland AFC,38,10,14,14,54:70,-16,34:42
15,Charlton Athletic,38,13,8,17,58:73,-15,34:42
16,West Bromwich Albion,38,11,10,17,46:55,-9,32:44
17,Fulham FC,38,11,10,17,44:62,-18,32:44
18,Huddersfield Town,38,13,5,20,59:84,-25,31:45
19,Aston Villa,38,10,11,17,54:61,-7,31:45
20,Everton FC,38,11,7,20,45:79,-34,29:47
21,Chelsea FC,38,10,7,21,49:62,-13,27:49
22,Sheffield Wednesday,38,10,7,21,58:79,-21,27:49
