position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,The Wednesday FC,38,20,9,9,77:55,22,49:27
2,Leicester City,38,19,7,12,84:63,21,45:31
3,Derby County,38,18,8,12,78:59,19,44:32
4,Aston Villa,38,20,4,14,89:76,13,44:32
5,Sunderland AFC,38,18,7,13,85:64,21,43:33
6,Liverpool FC,38,15,11,12,78:57,21,41:35
7,Leeds United,38,16,9,13,70:79,-9,41:35
8,Arsenal FC,38,15,11,12,71:64,7,41:35
9,Blackburn Rovers,38,15,10,13,68:58,10,40:36
10,Everton FC,38,17,4,17,60:64,-4,38:38
11,Newcastle United,38,16,6,16,64:69,-5,38:38
12,Manchester City,38,15,8,15,86:83,3,38:38
13,Huddersfield Town,38,14,9,15,67:53,14,37:39
14,West Ham United,38,15,7,16,82:83,-1,37:39
15,Bolton Wanderers,38,12,12,14,69:71,-2,36:40
16,Sheffield United,38,12,11,15,75:78,-3,35:41
17,Birmingham FC,38,13,9,16,62:72,-10,35:41
18,Manchester United,38,11,12,15,55:73,-18,34:42
19,Burnley FC,38,14,6,18,73:95,-22,34:42
20,Portsmouth FC,38,14,4,20,50:75,-25,32:44
21,Bury FC,38,11,6,21,54:91,-37,28:48
22,Cardiff City,38,8,10,20,41:56,-15,26:50
