position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Nottingham Forest,38,24,11,3,66:23,43,59:17
2,Everton FC,38,20,10,8,68:42,26,50:26
3,Liverpool FC,38,21,8,9,58:33,25,50:26
4,Manchester City,38,18,11,9,65:45,20,47:29
5,Arsenal FC,38,18,10,10,54:34,20,46:30
6,Coventry City,38,18,10,10,72:56,16,46:30
7,West Bromwich Albion,38,16,13,9,55:47,8,45:31
8,Leeds United,38,18,8,12,60:46,14,44:32
9,Aston Villa,38,14,10,14,43:40,3,38:38
10,Norwich City,38,11,16,11,48:57,-9,38:38
11,Birmingham City,38,15,7,16,50:55,-5,37:39
12,Middlesbrough FC,38,12,13,13,41:51,-10,37:39
13,Manchester United,38,13,10,15,59:60,-1,36:40
14,Derby County,38,12,12,14,46:53,-7,36:40
15,Bristol City,38,11,11,16,47:49,-2,33:43
16,Ipswich Town,38,10,13,15,45:52,-7,33:43
17,Chelsea FC,38,10,13,15,43:60,-17,33:43
18,Wolverhampton Wanderers,38,11,10,17,47:59,-12,32:44
19,West Ham United,38,10,8,20,47:63,-16,28:48
20,Queens Park Rangers,38,7,13,18,42:63,-21,27:49
21,Newcastle United,38,6,9,23,39:68,-29,21:55
22,Leicester City,38,4,12,22,21:60,-39,20:56
