position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Tottenham Hotspur,38,29,4,5,107:46,61,62:14
2,Sheffield Wednesday,38,23,11,4,73:37,36,57:19
3,Wolverhampton Wanderers,38,22,7,9,92:68,24,51:25
4,Burnley FC,38,19,7,12,93:72,21,45:31
5,Everton FC,38,18,6,14,72:66,6,42:34
6,Leicester City,38,17,7,14,79:62,17,41:35
7,Manchester United,38,16,7,15,76:69,7,39:37
8,Blackburn Rovers,38,14,11,13,71:69,2,39:37
9,Arsenal FC,38,14,11,13,73:73,0,39:37
10,Aston Villa,38,15,8,15,71:71,0,38:38
11,West Bromwich Albion,38,16,4,18,60:67,-7,36:40
12,Nottingham Forest,38,14,7,17,55:68,-13,35:41
13,Birmingham City,38,14,6,18,57:72,-15,34:42
14,Cardiff City,38,13,8,17,54:75,-21,34:42
15,Chelsea FC,38,13,7,18,90:91,-1,33:43
16,West Ham United,38,13,7,18,73:83,-10,33:43
17,Bolton Wanderers,38,11,10,17,53:65,-12,32:44
18,Manchester City,38,11,9,18,69:84,-15,31:45
19,Fulham FC,38,12,6,20,64:90,-26,30:46
20,Preston North End,38,10,9,19,39:63,-24,29:47
21,Blackpool FC,38,10,8,20,61:68,-7,28:48
22,Newcastle United,38,9,10,19,77:100,-23,28:48
