position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Leeds United,38,22,12,4,62:29,33,56:20
2,Liverpool FC,38,21,10,7,45:28,17,52:24
3,Ipswich Town,38,17,10,11,63:53,10,44:32
4,Burnley FC,38,16,11,11,53:49,4,43:33
5,Derby County,38,14,14,10,45:39,6,42:34
6,Everton FC,38,15,11,12,46:41,5,41:35
7,Queens Park Rangers,38,12,16,10,52:49,3,40:36
8,Stoke City,38,12,15,11,51:42,9,39:37
9,Leicester City,38,12,15,11,48:39,9,39:37
10,Wolverhampton Wanderers,38,12,13,13,45:45,0,37:39
11,Arsenal FC,38,12,13,13,40:44,-4,37:39
12,Tottenham Hotspur,38,12,13,13,41:48,-7,37:39
13,Chelsea FC,38,12,12,14,55:53,2,36:40
14,Manchester City,38,12,12,14,36:38,-2,36:40
15,Sheffield United,38,13,10,15,41:44,-3,36:40
16,Newcastle United,38,13,9,16,47:45,2,35:41
17,Coventry City,38,14,7,17,39:49,-10,35:41
18,West Ham United,38,11,12,15,51:55,-4,34:42
19,Birmingham City,38,11,10,17,47:60,-13,32:44
20,Southampton FC,38,10,12,16,41:63,-22,32:44
21,Manchester United,38,8,11,19,33:46,-13,27:49
22,Norwich City,38,6,14,18,34:56,-22,26:50
