position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,23,4,11,79:43,36,50:26
2,Manchester United,38,21,7,10,84:54,30,49:27
3,Everton FC,38,20,9,9,77:57,20,49:27
4,Chelsea FC,38,18,10,10,68:52,16,46:30
5,Tottenham Hotspur,38,19,7,12,89:76,13,45:31
6,Blackburn Rovers,38,17,9,12,86:59,27,43:33
7,Sheffield Wednesday,38,17,9,12,76:62,14,43:33
8,Leicester City,38,15,11,12,56:52,4,41:35
9,Arsenal FC,38,15,10,13,86:77,9,40:36
10,West Bromwich Albion,38,15,10,13,63:54,9,40:36
11,Burnley FC,38,15,10,13,65:58,7,40:36
12,Sheffield United,38,14,11,13,57:58,-1,39:37
13,West Ham United,38,13,12,13,62:67,-5,38:38
14,Nottingham Forest,38,14,9,15,55:60,-5,37:39
15,Fulham FC,38,12,12,14,53:57,-4,36:40
16,Wolverhampton Wanderers,38,10,13,15,58:76,-18,33:43
17,Aston Villa,38,10,12,16,56:61,-5,32:44
18,Blackpool FC,38,12,8,18,44:64,-20,32:44
19,Stoke City,38,11,9,18,67:72,-5,31:45
20,Birmingham City,38,10,7,21,51:82,-31,27:49
21,Bolton Wanderers,38,8,8,22,44:73,-29,24:52
22,Ipswich Town,38,7,7,24,44:106,-62,21:55
