position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Huddersfield Town,38,21,10,7,54:29,25,52:24
2,Sunderland AFC,39,21,9,9,67:47,20,51:27
3,Cardiff City,38,19,12,7,56:33,23,50:26
4,Bolton Wanderers,39,17,14,8,64:30,34,48:30
5,Sheffield United,38,17,11,10,63:44,19,45:31
6,Aston Villa,39,15,13,11,41:35,6,43:35
7,Everton FC,39,15,13,11,52:49,3,43:35
8,Newcastle United,39,16,10,13,58:47,11,42:36
9,Blackburn Rovers,38,16,10,12,50:42,8,42:34
10,West Ham United,37,12,14,11,34:35,-1,38:36
11,Birmingham FC,38,13,12,13,41:45,-4,38:38
12,Notts County,38,12,14,12,39:46,-7,38:38
13,Liverpool FC,38,13,10,15,44:44,0,36:40
14,Manchester City,37,12,12,13,47:62,-15,36:38
15,West Bromwich Albion,37,10,14,13,45:55,-10,34:40
16,Tottenham Hotspur,36,10,13,13,39:43,-4,33:39
17,Burnley FC,37,11,11,15,48:53,-5,33:41
18,Arsenal FC,38,11,9,18,36:56,-20,31:45
19,Preston North End,38,10,9,19,47:62,-15,29:47
20,Nottingham Forest,37,10,9,18,39:56,-17,29:45
21,Chelsea FC,38,5,14,19,21:50,-29,24:52
22,Middlesbrough FC,40,7,7,26,36:58,-22,21:59
