position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Arsenal FC,38,24,7,7,110:52,58,55:21
2,Aston Villa,38,20,7,11,82:67,15,47:29
3,Newcastle United,38,21,5,12,66:54,12,47:29
4,Sheffield Wednesday,38,19,8,11,73:61,12,46:30
5,West Bromwich Albion,38,18,8,12,73:61,12,44:32
6,Huddersfield Town,38,16,9,13,60:50,10,41:35
7,Leeds United,38,14,13,11,58:56,2,41:35
8,Derby County,38,13,14,11,70:62,8,40:36
9,Portsmouth FC,38,17,6,15,69:71,-2,40:36
10,Sunderland AFC,38,15,9,14,60:70,-10,39:37
11,Everton FC,38,15,8,15,78:69,9,38:38
12,Sheffield United,38,14,9,15,67:76,-9,37:39
13,Birmingham FC,38,13,10,15,54:51,3,36:40
14,Blackburn Rovers,38,13,10,15,69:86,-17,36:40
15,Manchester City,38,15,5,18,65:61,4,35:41
16,Liverpool FC,38,12,11,15,72:78,-6,35:41
17,Chelsea FC,38,13,5,20,56:67,-11,31:45
18,Blackpool FC,38,13,4,21,60:75,-15,30:46
19,Bolton Wanderers,38,11,8,19,69:85,-16,30:46
20,Middlesbrough FC,38,11,8,19,55:71,-16,30:46
21,Wolverhampton Wanderers,38,11,8,19,70:89,-19,30:46
22,Leicester City,38,8,12,18,60:84,-24,28:48
