position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Leeds United,38,24,9,5,78:48,30,57:19
2,Manchester United,38,23,8,7,80:36,44,54:22
3,Chelsea FC,38,23,7,8,81:44,37,53:23
4,Nottingham Forest,38,16,11,11,68:64,4,43:33
5,Everton FC,38,14,14,10,61:57,4,42:34
6,Tottenham Hotspur,38,17,7,14,75:63,12,41:35
7,Liverpool FC,38,16,9,13,64:65,-1,41:35
8,Sheffield Wednesday,38,14,11,13,53:52,1,39:37
9,West Ham United,38,17,4,17,72:64,8,38:38
10,Blackburn Rovers,38,15,8,15,72:67,5,38:38
11,Stoke City,38,14,9,15,61:63,-2,37:39
12,Burnley FC,38,14,9,15,62:65,-3,37:39
13,Arsenal FC,38,15,6,17,63:72,-9,36:40
14,Sunderland AFC,38,13,9,16,60:65,-5,35:41
15,West Bromwich Albion,38,11,12,15,62:55,7,34:42
16,Sheffield United,38,12,10,16,49:57,-8,34:42
17,Blackpool FC,38,12,9,17,63:71,-8,33:43
18,Fulham FC,38,11,10,17,58:72,-14,32:44
19,Leicester City,38,10,12,16,65:77,-12,32:44
20,Aston Villa,38,14,3,21,52:79,-27,31:45
21,Birmingham City,38,8,9,21,55:84,-29,25:51
22,Wolverhampton Wanderers,38,10,4,24,50:84,-34,24:52
