position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Portsmouth FC,38,23,8,7,78:35,43,54:22
2,Newcastle United,38,20,10,8,67:51,16,50:26
3,Manchester United,38,18,10,10,68:40,28,46:30
4,Derby County,38,18,9,11,62:53,9,45:31
5,Arsenal FC,38,15,13,10,66:42,24,43:33
6,Manchester City,38,15,13,10,45:45,0,43:33
7,Wolverhampton Wanderers,38,16,10,12,71:63,8,42:34
8,Charlton Athletic,38,15,11,12,61:58,3,41:35
9,Stoke City,38,14,9,15,59:60,-1,37:39
10,Sunderland AFC,38,11,15,12,45:56,-11,37:39
11,Aston Villa,38,14,8,16,55:73,-18,36:40
12,Burnley FC,38,12,12,14,42:45,-3,36:40
13,Blackpool FC,38,11,14,13,50:60,-10,36:40
14,Liverpool FC,38,11,13,14,46:40,6,35:41
15,Bolton Wanderers,38,13,9,16,56:62,-6,35:41
16,Birmingham City,38,10,14,14,32:35,-3,34:42
17,Chelsea FC,38,11,12,15,65:64,1,34:42
18,Everton FC,38,12,9,17,38:60,-22,33:43
19,Sheffield United,38,11,9,18,56:69,-13,31:45
20,Huddersfield Town,38,11,9,18,38:62,-24,31:45
21,Preston North End,38,10,9,19,57:70,-13,29:47
22,Middlesbrough FC,38,9,10,19,38:52,-14,28:48
