position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,24,8,6,74:30,44,56:20
2,Burnley FC,38,22,7,9,75:44,31,51:25
3,Chelsea FC,38,21,7,10,62:47,15,49:27
4,Leeds United,38,20,8,10,70:36,34,48:28
5,Manchester United,38,17,14,7,78:51,27,48:28
6,Leicester City,38,20,7,11,76:56,20,47:29
7,West Bromwich Albion,38,15,12,11,81:67,14,42:34
8,Tottenham Hotspur,38,15,11,12,72:62,10,41:35
9,Stoke City,38,14,11,13,63:60,3,39:37
10,Everton FC,38,15,9,14,51:52,-1,39:37
11,Sheffield United,38,14,11,13,51:54,-3,39:37
12,Blackpool FC,38,13,9,16,51:57,-6,35:41
13,Newcastle United,38,13,8,17,47:56,-9,34:42
14,Arsenal FC,38,11,12,15,59:69,-10,34:42
15,West Ham United,38,13,8,17,63:77,-14,34:42
16,Nottingham Forest,38,13,7,18,51:66,-15,33:43
17,Sunderland AFC,38,12,7,19,45:69,-24,31:45
18,Northampton Town,38,9,12,17,50:83,-33,30:46
19,Aston Villa,38,12,6,20,62:77,-15,30:46
20,Sheffield Wednesday,38,11,8,19,47:61,-14,30:46
21,Fulham FC,38,12,5,21,57:79,-22,29:47
22,Blackburn Rovers,38,7,3,28,51:83,-32,17:59
