position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,22,9,7,58:29,29,53:23
2,Manchester City,38,18,14,6,52:29,23,50:26
3,Ipswich Town,38,21,7,10,63:36,27,49:27
4,Aston Villa,38,20,7,11,70:43,27,47:29
5,Newcastle United,38,16,13,9,59:42,17,45:31
6,Manchester United,38,16,10,12,64:55,9,42:34
7,Leicester City,38,12,17,9,46:51,-5,41:35
8,West Bromwich Albion,38,14,12,12,51:51,0,40:36
9,Everton FC,38,14,11,13,58:59,-1,39:37
10,Arsenal FC,38,14,10,14,57:55,2,38:38
11,Leeds United,38,13,12,13,44:48,-4,38:38
12,Birmingham City,38,13,10,15,60:56,4,36:40
13,Middlesbrough FC,38,13,10,15,37:43,-6,36:40
14,Queens Park Rangers,38,12,11,15,44:48,-4,35:41
15,Norwich City,38,13,7,18,43:60,-17,33:43
16,Derby County,38,8,16,14,43:52,-9,32:44
17,Coventry City,38,9,14,15,42:53,-11,32:44
18,Stoke City,38,10,12,16,25:43,-18,32:44
19,Bristol City,38,10,11,17,35:44,-9,31:45
20,West Ham United,38,10,11,17,39:60,-21,31:45
21,Sunderland AFC,38,9,10,19,39:49,-10,28:48
22,Tottenham Hotspur,38,10,8,20,43:66,-23,28:48
