position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Queens Park Rangers,38,22,11,5,61:28,33,55:21
2,Liverpool FC,38,19,14,5,54:27,27,52:24
3,Manchester United,38,21,10,7,64:38,26,52:24
4,Derby County,38,20,10,8,66:50,16,50:26
5,Leeds United,38,20,9,9,62:40,22,49:27
6,Ipswich Town,38,14,14,10,46:38,8,42:34
7,Manchester City,38,15,11,12,59:38,21,41:35
8,Tottenham Hotspur,38,13,15,10,57:53,4,41:35
9,Leicester City,38,11,18,9,42:46,-4,40:36
10,Middlesbrough FC,38,14,9,15,40:39,1,37:39
11,Stoke City,38,13,11,14,43:43,0,37:39
12,Norwich City,38,13,10,15,50:54,-4,36:40
13,Everton FC,38,12,12,14,51:62,-11,36:40
14,Newcastle United,38,13,9,16,66:59,7,35:41
15,Coventry City,38,11,13,14,39:50,-11,35:41
16,Arsenal FC,38,12,10,16,42:45,-3,34:42
17,Aston Villa,38,9,15,14,45:55,-10,33:43
18,West Ham United,38,12,9,17,45:63,-18,33:43
19,Wolverhampton Wanderers,38,9,10,19,47:60,-13,28:48
20,Birmingham City,38,11,6,21,50:72,-22,28:48
21,Burnley FC,38,8,9,21,40:61,-21,25:51
22,Sheffield United,38,4,9,25,30:78,-48,17:59
