position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Wolverhampton Wanderers,38,23,6,9,89:54,35,52:24
2,West Bromwich Albion,38,21,8,9,83:53,30,50:26
3,Huddersfield Town,38,18,11,9,73:53,20,47:29
4,Bolton Wanderers,38,17,10,11,70:55,15,44:32
5,Chelsea FC,38,16,11,11,72:63,9,43:33
6,Burnley FC,38,20,2,16,74:63,11,42:34
7,Manchester United,38,15,12,11,66:56,10,42:34
8,Blackpool FC,38,16,10,12,70:65,5,42:34
9,Charlton Athletic,38,18,5,15,73:71,2,41:35
10,Cardiff City,38,17,7,14,47:64,-17,41:35
11,Arsenal FC,38,13,12,13,66:66,0,38:38
12,Preston North End,38,16,5,17,78:54,24,37:39
13,Portsmouth FC,38,13,10,15,77:83,-6,36:40
14,Aston Villa,37,14,7,16,60:63,-3,35:39
15,Tottenham Hotspur,38,15,5,18,60:65,-5,35:41
16,Newcastle United,38,11,10,17,62:71,-9,32:44
17,Manchester City,38,12,8,18,57:75,-18,32:44
18,Sheffield Wednesday,38,14,4,20,65:86,-21,32:44
19,Sunderland AFC,38,12,6,20,74:85,-11,30:46
20,Sheffield United,37,10,10,17,62:79,-17,30:44
21,Middlesbrough FC,38,10,9,19,58:83,-25,29:47
22,Liverpool FC,38,7,10,21,63:92,-29,24:52
