position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Wolverhampton Wanderers,38,25,4,9,99:47,52,54:22
2,Manchester United,38,23,6,9,101:62,39,52:24
3,Bolton Wanderers,38,18,9,11,73:61,12,45:31
4,West Bromwich Albion,38,16,12,10,82:61,21,44:32
5,West Ham United,38,20,4,14,78:66,12,44:32
6,Arsenal FC,38,18,7,13,78:63,15,43:33
7,Burnley FC,38,18,7,13,75:65,10,43:33
8,Blackpool FC,38,16,10,12,60:46,14,42:34
9,Birmingham City,38,18,6,14,75:63,12,42:34
10,Blackburn Rovers,38,15,10,13,69:63,6,40:36
11,Nottingham Forest,38,16,6,16,67:64,3,38:38
12,Chelsea FC,38,17,3,18,72:90,-18,37:39
13,Newcastle United,38,16,4,18,72:74,-2,36:40
14,Everton FC,38,16,4,18,66:78,-12,36:40
15,Luton Town,38,12,11,15,66:62,4,35:41
16,Preston North End,38,15,5,18,61:72,-11,35:41
17,Tottenham Hotspur,38,12,8,18,75:86,-11,32:44
18,Leeds United,38,12,8,18,49:71,-22,32:44
19,Manchester City,38,11,8,19,62:86,-24,30:46
20,Aston Villa,38,11,6,21,55:81,-26,28:48
21,Leicester City,38,9,9,20,60:92,-32,27:49
22,Portsmouth FC,38,6,9,23,59:101,-42,21:55
