position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Newcastle United,38,24,5,9,65:41,24,53:23
2,Everton FC,38,18,10,10,82:57,25,46:30
3,Sunderland AFC,38,21,2,15,78:63,15,44:32
4,Blackburn Rovers,38,14,13,11,61:50,11,41:35
5,The Wednesday FC,38,17,6,15,67:61,6,40:36
6,Woolwich Arsenal,38,14,10,14,52:49,3,38:38
7,Aston Villa,38,14,10,14,58:56,2,38:38
8,Bristol City,38,13,12,13,45:58,-13,38:38
9,Middlesbrough FC,38,14,9,15,59:53,6,37:39
10,Preston North End,38,13,11,14,48:44,4,37:39
11,Chelsea FC,38,14,9,15,56:61,-5,37:39
12,Sheffield United,38,14,9,15,51:59,-8,37:39
13,Manchester United,38,15,7,16,58:68,-10,37:39
14,Nottingham Forest,38,14,8,16,66:57,9,36:40
15,Notts County,38,14,8,16,51:48,3,36:40
16,Liverpool FC,38,15,6,17,57:65,-8,36:40
17,Bury FC,38,14,8,16,63:77,-14,36:40
18,Bradford City,38,12,10,16,47:47,0,34:42
19,Manchester City,38,15,4,19,67:69,-2,34:42
20,Leicester Fosse,38,8,9,21,54:102,-48,25:51
