position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Preston North End,38,19,11,8,80:57,23,49:27
2,Arsenal FC,38,18,12,8,87:57,30,48:28
3,Wolverhampton Wanderers,38,17,12,9,75:57,18,46:30
4,Charlton Athletic,38,17,11,10,72:57,15,45:31
5,West Bromwich Albion,38,19,7,12,61:57,4,45:31
6,Burnley FC,38,16,12,10,57:43,14,44:32
7,Blackpool FC,38,18,8,12,66:58,8,44:32
8,Manchester United,38,16,9,13,62:63,-1,41:35
9,Sunderland AFC,38,14,12,12,62:70,-8,40:36
10,Cardiff City,38,13,12,13,50:39,11,38:38
11,Tottenham Hotspur,38,14,9,15,71:62,9,37:39
12,Aston Villa,38,12,12,14,56:55,1,36:40
13,Bolton Wanderers,38,14,8,16,57:64,-7,36:40
14,Newcastle United,38,13,9,16,54:60,-6,35:41
15,Portsmouth FC,38,12,10,16,67:76,-9,34:42
16,Manchester City,38,13,7,18,64:75,-11,33:43
17,Liverpool FC,38,13,7,18,56:75,-19,33:43
18,Sheffield Wednesday,38,11,10,17,53:64,-11,32:44
19,Middlesbrough FC,38,11,10,17,55:74,-19,32:44
20,Stoke City,38,11,9,18,49:60,-11,31:45
21,Chelsea FC,38,10,10,18,51:62,-11,30:46
22,Derby County,38,9,9,20,51:71,-20,27:49
