position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Leeds United,38,24,12,2,61:25,36,60:16
2,Liverpool FC,38,22,10,6,56:23,33,54:22
3,Arsenal FC,38,21,11,6,51:22,29,53:23
4,Everton FC,38,19,13,6,70:33,37,51:25
5,Chelsea FC,38,17,9,12,67:50,17,43:33
6,West Ham United,38,13,16,9,65:46,19,42:34
7,Southampton FC,38,15,12,11,53:45,8,42:34
8,Manchester City,38,14,10,14,62:47,15,38:38
9,Newcastle United,38,12,14,12,51:47,4,38:38
10,Tottenham Hotspur,38,10,17,11,54:50,4,37:39
11,Manchester United,38,13,11,14,52:49,3,37:39
12,West Bromwich Albion,38,13,11,14,55:64,-9,37:39
13,Burnley FC,38,14,9,15,51:76,-25,37:39
14,Ipswich Town,38,13,10,15,55:55,0,36:40
15,Sheffield Wednesday,38,10,15,13,36:44,-8,35:41
16,Wolverhampton Wanderers,38,9,15,14,37:50,-13,33:43
17,Stoke City,38,9,13,16,37:57,-20,31:45
18,Nottingham Forest,38,9,12,17,42:52,-10,30:46
19,Sunderland AFC,38,9,12,17,39:64,-25,30:46
20,Coventry City,38,10,9,19,45:58,-13,29:47
21,Leicester City,38,8,11,19,35:63,-28,27:49
22,Queens Park Rangers,38,3,10,25,36:90,-54,16:60
