position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Liverpool FC,38,23,9,6,67:39,28,55:21
2,Leeds United,38,20,11,7,66:39,27,51:25
3,Arsenal FC,38,21,9,8,51:40,11,51:25
4,Wolverhampton Wanderers,38,16,11,11,59:50,9,43:33
5,Derby County,38,18,7,13,52:48,4,43:33
6,West Ham United,38,16,10,12,61:47,14,42:34
7,Newcastle United,38,15,12,11,56:45,11,42:34
8,Ipswich Town,38,15,12,11,49:42,7,42:34
9,Tottenham Hotspur,38,14,12,12,51:42,9,40:36
10,Birmingham City,38,13,11,14,47:49,-2,37:39
11,Southampton FC,38,10,17,11,38:43,-5,37:39
12,Manchester City,38,13,10,15,51:56,-5,36:40
13,Coventry City,38,13,9,16,38:45,-7,35:41
14,Chelsea FC,38,10,14,14,44:49,-5,34:42
15,Manchester United,38,11,12,15,42:57,-15,34:42
16,Everton FC,38,12,9,17,39:46,-7,33:43
17,Sheffield United,38,12,9,17,42:54,-12,33:43
18,Stoke City,38,11,10,17,53:53,0,32:44
19,Leicester City,38,9,14,15,37:44,-7,32:44
20,Crystal Palace,38,8,12,18,37:49,-12,28:48
21,West Bromwich Albion,38,9,10,19,35:54,-19,28:48
22,Norwich City,38,9,10,19,33:57,-24,28:48
